Classifier,Latitude,Longitude,Z_value
5,31.70417482,253.6627897,171.8113821
5,31.61313998,253.7532618,165.203252
5,31.59144371,253.774824,128.8585366
5,31.62342893,253.7430365,125.5544715
5,31.61828445,253.7481492,145.3788618
5,31.66413738,253.7025797,105.7300813
5,31.63416522,253.7323666,459.2650407
5,31.65563781,253.7110267,89.20975609
5,31.53463081,253.8312857,112.3382114
5,31.69947769,253.6674578,340.3186991
5,31.64713825,253.7194737,59.47317073
5,31.58674658,253.7794921,432.8325205
5,31.63640195,253.7301437,148.6829268
5,31.5874176,253.7788252,505.5219511
5,31.7142401,253.6527867,85.90569105
5,31.57198417,253.7941632,19.82439024
5,31.64937498,253.7172508,13.21626016
5,31.68225488,253.6845742,26.43252033
5,31.6030747,253.7632649,422.9203251
5,31.72139763,253.6456734,125.5544715
5,31.71602948,253.6510084,227.9804878
5,31.65832189,253.7083592,185.0276423
5,31.68449161,253.6823513,69.38536585
5,31.64333581,253.7232527,416.3121953
5,31.63036278,253.7361455,264.3252033
5,31.6804655,253.6863525,201.5479675
5,31.59010167,253.7761577,498.9138213
5,31.57869436,253.7874945,343.6227643
5,31.69545158,253.6714591,208.1560976
5,31.66547942,253.7012459,171.8113821
5,31.70484584,253.6621229,66.08130081
5,31.63617828,253.7303659,413.00813
5,31.53328877,253.8326194,33.0406504
5,31.61671874,253.7497052,85.90569105
5,31.71513479,253.6518975,191.6357724
5,31.63505991,253.7314774,383.2715449
5,31.72676578,253.6403384,89.20975609
5,31.58339149,253.7828264,419.6162602
5,31.59278575,253.7734902,327.1024391
5,31.61224528,253.754151,62.77723577
5,31.59770655,253.7685998,59.47317073
5,31.6672688,253.6994676,231.2845529
5,31.57377356,253.7923849,122.2504065
5,31.56818173,253.7979421,82.60162601
5,31.55722177,253.8088344,287.4536585
5,31.61090325,253.7554847,313.8861788
5,31.59211473,253.7741571,416.3121953
5,31.63573093,253.7308105,145.3788618
5,31.55878748,253.8072783,297.3658537
5,31.60732448,253.7590414,36.34471544
5,31.70462217,253.6623452,300.6699187
5,31.58361516,253.7826041,356.8390243
5,31.7010434,253.6659018,148.6829268
5,31.62790238,253.7385907,135.4666667
5,31.61000856,253.7563739,307.2780487
5,31.72587109,253.6412276,59.47317073
5,31.70752991,253.6594554,42.95284552
5,31.71781886,253.64923,79.29756097
5,31.62969177,253.7368124,426.2243903
5,31.64624356,253.7203629,6.608130081
5,31.60844285,253.7579299,373.3593495
5,31.71245072,253.654565,145.3788618
5,31.60218001,253.764154,498.9138213
5,31.68605732,253.6807952,185.0276423
5,31.57220785,253.7939409,79.29756097
5,31.5981539,253.7681553,92.51382113
5,31.62633667,253.7401467,36.34471544
5,31.62946809,253.7370346,185.0276423
5,31.63304686,253.733478,251.1089431
5,31.60642979,253.7599305,541.8666667
5,31.5619189,253.8041663,234.5886179
5,31.57511559,253.7910511,280.8455285
5,31.68158386,253.685241,125.5544715
5,31.70506951,253.6619006,300.6699187
5,31.70574053,253.6612337,82.60162601
5,31.62566565,253.7408136,29.73658537
5,31.7430939,253.6241113,36.34471544
5,31.63573093,253.7308105,251.1089431
5,31.60620612,253.7601528,409.7040651
5,31.57533927,253.7908289,340.3186991
5,31.61000856,253.7563739,449.3528457
5,31.5972592,253.7690444,495.609756
5,31.57466825,253.7914957,13.21626016
5,31.60598244,253.7603751,135.4666667
